Version: Taxi Continuous/Discontinuous v4.1.9735.16533
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 10000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 5
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: True
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01269500 -12.8900 0.0600 90.0000
 0 0.01288170 -12.8900 0.0600 90.0000
 0 0.01249870 -12.8900 0.0600 90.0000
 0 0.01393070 -12.8900 0.0600 90.0000
 0 0.01199030 -12.8900 0.0600 90.0000
 0 0.01325130 -12.8900 0.0600 90.0000
 0 0.01306200 -12.8900 0.0600 90.0000
 0 0.01267850 -12.8900 0.0600 90.0000
 0 0.01265280 -12.8900 0.0600 90.0000
 0 0.01270980 -12.8900 0.0600 90.0000
 0 0.01080480 -12.8900 0.0600 90.0000
 0 0.01169080 -12.8900 0.0600 90.0000
 0 0.01132830 -12.8900 0.0600 90.0000
 0 0.01125380 -12.8900 0.0600 90.0000
 0 0.01209300 -12.8900 0.0600 90.0000
 0 0.01329820 -12.8900 0.0600 90.0000
 0 0.01515130 -12.8900 0.0600 90.0000
 0 0.01105810 -12.8900 0.0600 90.0000
 0 0.01220740 -12.8900 0.0600 90.0000
 0 0.01275880 -12.8900 0.0600 90.0000
 0 0.01225660 -12.8900 0.0600 90.0000
 0 0.01281680 -12.8900 0.0600 90.0000
 0 0.01175400 -12.8900 0.0600 90.0000
 0 0.01195590 -12.8900 0.0600 90.0000
 0 0.01220800 -12.8900 0.0600 90.0000
 0 0.01110750 -12.8900 0.0600 90.0000
 0 0.01249110 -12.8900 0.0600 90.0000
 0 0.01290840 -12.8900 0.0600 90.0000
 0 0.01087660 -12.8900 0.0600 90.0000
 0 0.01321170 -12.8900 0.0600 90.0000
 0 0.01061390 -12.8900 0.0600 90.0000
 0 0.01337260 -12.8900 0.0600 90.0000
 0 0.01154430 -12.8900 0.0600 90.0000
 0 0.01212100 -12.8900 0.0600 90.0000
 0 0.01314920 -12.8900 0.0600 90.0000
 0 0.01001220 -12.8900 0.0600 90.0000
 0 0.01242920 -12.8900 0.0600 90.0000
 0 0.01170120 -12.8900 0.0600 90.0000
 0 0.01041460 -12.8900 0.0600 90.0000
 0 0.01205350 -12.8900 0.0600 90.0000
 0 0.01101510 -12.8900 0.0600 90.0000
 0 0.01228550 -12.8900 0.0600 90.0000
 0 0.01335450 -12.8900 0.0600 90.0000
 0 0.01191530 -12.8900 0.0600 90.0000
 0 0.03141250 -12.8900 0.0600 90.0000
 0 0.01032630 -12.8900 0.0600 90.0000
 0 0.01091570 -12.8900 0.0600 90.0000
 0 0.00946670 -12.8900 0.0600 90.0000
 0 0.01126050 -12.8900 0.0600 90.0000
 0 0.01087160 -12.8900 0.0600 90.0000
 0 0.01064190 -12.8900 0.0600 90.0000
 0 0.00965680 -12.8900 0.0600 90.0000
 0 0.01089170 -12.8900 0.0600 90.0000
 0 0.01117470 -12.8900 0.0600 90.0000
 0 0.01037730 -12.8900 0.0600 90.0000
 0 0.01172770 -12.8900 0.0600 90.0000
 0 0.00911600 -12.8900 0.0600 90.0000
 0 0.01057250 -12.8900 0.0600 90.0000
 0 0.01150790 -12.8900 0.0600 90.0000
 0 0.01133250 -12.8900 0.0600 90.0000
 0 0.01006480 -12.8900 0.0600 90.0000
 0 0.01038200 -12.8900 0.0600 90.0000
 0 0.01057260 -12.8900 0.0600 90.0000
 0 0.01107680 -12.8900 0.0600 90.0000
 0 0.01236200 -12.8900 0.0600 90.0000
 0 0.01000030 -12.8900 0.0600 90.0000
 0 0.01012270 -12.8900 0.0600 90.0000
 0 0.01149170 -12.8900 0.0600 90.0000
 0 0.01038270 -12.8900 0.0600 90.0000
 0 0.01087580 -12.8900 0.0600 90.0000
 0 0.01033800 -12.8900 0.0600 90.0000
 0 0.01033320 -12.8900 0.0600 90.0000
 0 0.01090560 -12.8900 0.0600 90.0000
 0 0.01023350 -12.8900 0.0600 90.0000
 0 0.01025040 -12.8900 0.0600 90.0000
 0 0.01190900 -12.8900 0.0600 90.0000
 0 0.01179270 -12.8900 0.0600 90.0000
 0 0.01072360 -12.8900 0.0600 90.0000
 0 0.02614620 -12.8900 0.0600 90.0000
 0 0.03805020 -12.8900 0.0600 90.0000
 0 0.01026020 -12.8900 0.0600 90.0000
 0 0.01076300 -12.8900 0.0600 90.0000
 0 0.01023200 -12.8900 0.0600 90.0000
 0 0.01098690 -12.8900 0.0600 90.0000
 0 0.00979310 -12.8900 0.0600 90.0000
 0 0.01175400 -12.8900 0.0600 90.0000
 0 0.01051190 -12.8900 0.0600 90.0000
 0 0.02337700 -12.8900 0.0600 90.0000
 0 0.09836850 -12.8900 0.0600 90.0000
 0 0.03824120 -12.8900 0.0600 90.0000
 0 0.03733790 -12.8900 0.0600 90.0000
 0 0.03587530 -12.8900 0.0600 90.0000
 0 0.03603240 -12.8900 0.0600 90.0000
 0 0.03779990 -12.8900 0.0600 90.0000
 0 0.03588100 -12.8900 0.0600 90.0000
